Episode 103/400 | Steps 1316 | Raw 0.0 | Shaped 131.60 | Eps 0.6802
Episode 104/400 | Steps 1012 | Raw 0.0 | Shaped 101.20 | Eps 0.6752
Episode 105/400 | Steps 682 | Raw 0.0 | Shaped 68.20 | Eps 0.6714
Episode 106/400 | Steps 775 | Raw 0.0 | Shaped 77.50 | Eps 0.6688
Episode 107/400 | Steps 1189 | Raw 0.0 | Shaped 118.90 | Eps 0.6658
Episode 108/400 | Steps 705 | Raw 0.0 | Shaped 70.50 | Eps 0.6613
Episode 109/400 | Steps 693 | Raw 0.0 | Shaped 69.30 | Eps 0.6586
Episode 110/400 | Steps 1071 | Raw 0.0 | Shaped 107.10 | Eps 0.6560
Eval ep 110: mean 1316.3 | [1346, 1301, 1302]
Episode 111/400 | Steps 1170 | Raw 0.0 | Shaped 117.00 | Eps 0.6519
Episode 112/400 | Steps 1044 | Raw 0.0 | Shaped 104.40 | Eps 0.6475
Episode 113/400 | Steps 936 | Raw 0.0 | Shaped 93.60 | Eps 0.6435
Episode 114/400 | Steps 1243 | Raw 0.0 | Shaped 124.30 | Eps 0.6400
Episode 115/400 | Steps 945 | Raw 0.0 | Shaped 94.50 | Eps 0.6352
Episode 116/400 | Steps 676 | Raw 0.0 | Shaped 67.60 | Eps 0.6317
Episode 117/400 | Steps 1050 | Raw 0.0 | Shaped 105.00 | Eps 0.6291
Episode 118/400 | Steps 1003 | Raw 0.0 | Shaped 100.30 | Eps 0.6251
Episode 119/400 | Steps 735 | Raw 0.0 | Shaped 73.50 | Eps 0.6213
Episode 120/400 | Steps 1069 | Raw 0.0 | Shaped 106.90 | Eps 0.6185
Eval ep 120: mean 1166.0 | [1036, 1261, 1201]
Episode 121/400 | Steps 1037 | Raw 0.0 | Shaped 103.70 | Eps 0.6144
Episode 122/400 | Steps 468 | Raw 0.0 | Shaped 46.80 | Eps 0.6105
Episode 123/400 | Steps 1068 | Raw 0.0 | Shaped 106.80 | Eps 0.6087
Episode 124/400 | Steps 989 | Raw 0.0 | Shaped 98.90 | Eps 0.6047
Episode 125/400 | Steps 1059 | Raw 0.0 | Shaped 105.90 | Eps 0.6009
Episode 126/400 | Steps 1035 | Raw 0.0 | Shaped 103.50 | Eps 0.5969
Episode 127/400 | Steps 1066 | Raw 0.0 | Shaped 106.60 | Eps 0.5929
Episode 128/400 | Steps 730 | Raw 0.0 | Shaped 73.00 | Eps 0.5889
Episode 129/400 | Steps 1023 | Raw 0.0 | Shaped 102.30 | Eps 0.5861
Episode 130/400 | Steps 734 | Raw 0.0 | Shaped 73.40 | Eps 0.5822
Eval ep 130: mean 568.7 | [580, 454, 672]
Episode 131/400 | Steps 484 | Raw 0.0 | Shaped 48.40 | Eps 0.5794
Episode 132/400 | Steps 842 | Raw 0.0 | Shaped 84.20 | Eps 0.5776
Episode 133/400 | Steps 937 | Raw 0.0 | Shaped 93.70 | Eps 0.5744
Episode 134/400 | Steps 737 | Raw 0.0 | Shaped 73.70 | Eps 0.5708
Episode 135/400 | Steps 942 | Raw 0.0 | Shaped 94.20 | Eps 0.5680
Episode 136/400 | Steps 973 | Raw 0.0 | Shaped 97.30 | Eps 0.5645
Episode 137/400 | Steps 987 | Raw 0.0 | Shaped 98.70 | Eps 0.5608
Episode 138/400 | Steps 691 | Raw 0.0 | Shaped 69.10 | Eps 0.5570
Episode 139/400 | Steps 1023 | Raw 0.0 | Shaped 102.30 | Eps 0.5544
Episode 140/400 | Steps 980 | Raw 0.0 | Shaped 98.00 | Eps 0.5505
Eval ep 140: mean 1087.7 | [2087, 838, 338]
Episode 141/400 | Steps 954 | Raw 0.0 | Shaped 95.40 | Eps 0.5468
Episode 142/400 | Steps 1075 | Raw 0.0 | Shaped 107.50 | Eps 0.5431
Episode 143/400 | Steps 778 | Raw 0.0 | Shaped 77.80 | Eps 0.5391
Episode 144/400 | Steps 750 | Raw 0.0 | Shaped 75.00 | Eps 0.5361
Episode 145/400 | Steps 702 | Raw 0.0 | Shaped 70.20 | Eps 0.5333
Episode 146/400 | Steps 1000 | Raw 0.0 | Shaped 100.00 | Eps 0.5306
Episode 147/400 | Steps 487 | Raw 0.0 | Shaped 48.70 | Eps 0.5268
Episode 148/400 | Steps 1068 | Raw 0.0 | Shaped 106.80 | Eps 0.5249
Episode 149/400 | Steps 728 | Raw 0.0 | Shaped 72.80 | Eps 0.5209
Episode 150/400 | Steps 749 | Raw 0.0 | Shaped 74.90 | Eps 0.5181
Eval ep 150: mean 962.3 | [693, 1071, 1123]
Episode 151/400 | Steps 710 | Raw 0.0 | Shaped 71.00 | Eps 0.5153
Episode 152/400 | Steps 1343 | Raw 0.0 | Shaped 134.30 | Eps 0.5126
Episode 153/400 | Steps 456 | Raw 0.0 | Shaped 45.60 | Eps 0.5075
Episode 154/400 | Steps 897 | Raw 0.0 | Shaped 89.70 | Eps 0.5057
Episode 155/400 | Steps 1021 | Raw 0.0 | Shaped 102.10 | Eps 0.5023
Episode 156/400 | Steps 1020 | Raw 0.0 | Shaped 102.00 | Eps 0.4984
